                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1935,                 2.2826,                 1.5418,                 1.4096,                0.19893,                0.58089,                0.16715,                 0.0935,                0.18688,                0.52739,                0.13503,                0.06443,                 1.3814,                 3.4477,                 6.5715,                 1.6218,             0.00066537,             0.00066537,             0.00066537
                      2,                 1.3691,                 2.5738,                 1.6598,                 1.5336,                0.62992,                0.60928,                0.61653,                0.35777,                0.64919,                0.59108,                 0.6124,                0.34586,                 1.3553,                 2.5516,                 1.6034,                 1.6312,              0.0013254,              0.0013254,              0.0013254
                      3,                 1.3405,                 2.5807,                 1.6386,                 1.5322,                0.66419,                0.59715,                0.65615,                0.39768,                0.65513,                0.57962,                0.63306,                0.36151,                 1.2624,                 2.4531,                 1.5316,                 1.5069,              0.0019789,              0.0019789,              0.0019789
                      4,                 1.2758,                 2.4377,                 1.5513,                 1.4881,                 0.6866,                 0.6586,                 0.7082,                0.44737,                0.72065,                0.65096,                0.71004,                0.43557,                 1.1884,                  2.178,                 1.4562,                 1.4825,              0.0019703,              0.0019703,              0.0019703
                      5,                 1.2211,                 2.3238,                 1.4665,                 1.4446,                0.69137,                0.66752,                0.71426,                0.45381,                0.71658,                0.66752,                0.71907,                0.45135,                 1.1435,                 2.0995,                 1.4605,                 1.4821,              0.0019703,              0.0019703,              0.0019703
                      6,                 1.1496,                  2.161,                 1.3558,                 1.3946,                0.74909,                0.67261,                0.73443,                0.49266,                 0.7617,                0.65964,                 0.7366,                0.48733,                 1.0965,                 1.9404,                 1.1619,                  1.435,              0.0019604,              0.0019604,              0.0019604
                      7,                 1.0808,                 2.0492,                 1.2623,                   1.36,                0.78837,                0.65489,                0.75085,                0.50584,                0.79327,                0.66497,                0.75258,                 0.5074,                 1.0929,                 2.0039,                 1.1921,                 1.4268,              0.0019505,              0.0019505,              0.0019505
                      8,                 1.0635,                 1.9917,                 1.2307,                 1.3422,                0.77945,                0.66369,                0.75613,                0.52965,                 0.7887,                0.67044,                0.75306,                0.50655,                0.98809,                 1.8885,                 1.0635,                 1.3381,              0.0019406,              0.0019406,              0.0019406
                      9,                 1.0095,                 1.9299,                 1.1804,                 1.3098,                0.73225,                0.70955,                0.77182,                0.53806,                0.74639,                0.71981,                0.77791,                 0.5239,                 1.0113,                 1.8876,                 1.0785,                 1.3704,              0.0019307,              0.0019307,              0.0019307
                     10,                 1.0096,                 1.8993,                 1.1374,                 1.3039,                0.81374,                0.73121,                0.81885,                0.58773,                0.82262,                0.73848,                0.82091,                0.57043,                0.92303,                 1.7051,                0.97246,                 1.2793,              0.0019208,              0.0019208,              0.0019208
                     11,                0.96275,                 1.8065,                 1.0767,                 1.2753,                0.77306,                0.70734,                0.78976,                0.57195,                0.78312,                0.70955,                0.79345,                0.54676,                0.92229,                 1.7454,                0.99187,                 1.2948,              0.0019109,              0.0019109,              0.0019109
                     12,                0.96781,                 1.8409,                 1.0926,                 1.2915,                0.82612,                0.71338,                0.81819,                0.59645,                0.80704,                0.73376,                0.80484,                0.56241,                0.90731,                 1.7092,                0.89018,                 1.2634,               0.001901,               0.001901,               0.001901
                     13,                0.93938,                 1.7353,                 1.0399,                  1.253,                0.80576,                0.76433,                0.83354,                0.61378,                0.86299,                0.73248,                0.83977,                0.59044,                0.90855,                 1.6704,                0.88367,                 1.2755,              0.0018911,              0.0018911,              0.0018911
                     14,                0.92749,                 1.7311,                 1.0208,                 1.2433,                 0.8272,                 0.7121,                0.81089,                0.60026,                0.79952,                0.73885,                0.81499,                0.58644,                 0.8847,                 1.6606,                0.89803,                 1.2716,              0.0018812,              0.0018812,              0.0018812
                     15,                0.89716,                 1.6534,                0.97499,                 1.2268,                0.82842,                0.72229,                0.80898,                0.61298,                0.82102,                0.72994,                  0.812,                0.57993,                  0.821,                 1.6192,                0.92581,                 1.2145,              0.0018713,              0.0018713,              0.0018713
                     16,                0.87233,                   1.64,                 0.9666,                  1.207,                0.84073,                0.72357,                0.81699,                0.61365,                0.84369,                0.72611,                0.81776,                0.59381,                0.85321,                 1.6481,                0.86629,                 1.2444,              0.0018614,              0.0018614,              0.0018614
                     17,                 0.8622,                 1.5799,                 0.9287,                 1.2011,                0.81721,                0.76887,                 0.8315,                 0.6271,                0.82343,                 0.7758,                  0.837,                0.61963,                 0.8211,                 1.5463,                0.84511,                 1.1995,              0.0018515,              0.0018515,              0.0018515
                     18,                0.84202,                 1.5622,                0.88885,                 1.1892,                0.80187,                0.77962,                0.83661,                0.63901,                0.81151,                0.79108,                0.84346,                0.61411,                0.79184,                 1.5623,                0.85034,                 1.2034,              0.0018416,              0.0018416,              0.0018416
                     19,                0.81286,                  1.503,                0.84772,                 1.1722,                0.80678,                 0.7414,                0.82376,                0.63402,                0.81451,                0.74777,                0.82569,                0.61169,                0.80257,                 1.5202,                0.79614,                 1.2022,              0.0018317,              0.0018317,              0.0018317
                     20,                0.81921,                 1.5355,                0.86572,                 1.1698,                0.85057,                0.74685,                0.82994,                0.62808,                0.86204,                0.75032,                0.83567,                0.60447,                 0.8093,                 1.5761,                0.81193,                 1.2226,              0.0018218,              0.0018218,              0.0018218
                     21,                0.80164,                 1.4776,                 0.8459,                 1.1613,                0.81082,                0.78089,                0.83019,                0.63396,                0.82854,                0.78177,                0.83477,                 0.6113,                0.82996,                 1.5573,                0.80262,                 1.2333,              0.0018119,              0.0018119,              0.0018119
                     22,                 0.8024,                 1.4775,                0.83199,                 1.1578,                0.83362,                0.75316,                 0.8461,                0.63651,                0.86408,                 0.7465,                0.84587,                0.61701,                0.81868,                 1.5172,                 0.7632,                  1.214,               0.001802,               0.001802,               0.001802
                     23,                0.80303,                 1.4461,                0.82158,                 1.1583,                0.84016,                0.73652,                0.82095,                0.62541,                0.86336,                0.73121,                0.83515,                0.60013,                0.81373,                  1.577,                0.83811,                 1.2322,              0.0017921,              0.0017921,              0.0017921
                     24,                 0.7915,                 1.4636,                0.82869,                 1.1506,                 0.8517,                0.75355,                0.84666,                0.65515,                0.85686,                0.76257,                0.85402,                0.63667,                 0.7882,                 1.4618,                0.75222,                  1.192,              0.0017822,              0.0017822,              0.0017822
                     25,                 0.7814,                 1.4388,                0.80986,                  1.149,                 0.8407,                0.77983,                 0.8462,                0.65386,                0.84633,                0.78599,                0.84883,                0.63262,                0.78634,                 1.4816,                0.75466,                 1.1921,              0.0017723,              0.0017723,              0.0017723
                     26,                0.73735,                  1.344,                0.73191,                 1.1175,                0.86507,                0.76772,                 0.8591,                0.66539,                0.87943,                0.78046,                0.87081,                0.64405,                0.76993,                 1.4395,                0.70878,                 1.1806,              0.0017624,              0.0017624,              0.0017624
                     27,                0.75114,                 1.3721,                0.76823,                 1.1232,                0.88282,                0.77197,                0.84923,                0.65484,                0.88719,                 0.7758,                0.85644,                0.61509,                 0.7736,                 1.5243,                0.73745,                  1.194,              0.0017525,              0.0017525,              0.0017525
                     28,                0.73154,                 1.3348,                0.74566,                 1.1222,                0.88218,                0.74013,                0.84511,                0.65836,                0.89687,                0.74904,                  0.854,                0.63509,                0.80551,                 1.4478,                 0.7202,                 1.2211,              0.0017426,              0.0017426,              0.0017426
                     29,                0.73789,                 1.3575,                0.74803,                 1.1182,                0.86441,                 0.7414,                  0.844,                 0.6488,                0.87035,                 0.7465,                 0.8514,                 0.6267,                0.78669,                  1.479,                0.76654,                 1.2036,              0.0017327,              0.0017327,              0.0017327
                     30,                0.74056,                 1.3485,                0.73551,                 1.1126,                0.86257,                0.75032,                0.85039,                0.66687,                0.87605,                0.75414,                0.85147,                0.63942,                0.76127,                 1.5191,                0.73181,                 1.1775,              0.0017228,              0.0017228,              0.0017228
                     31,                0.71241,                 1.2996,                0.70526,                 1.0967,                0.87161,                0.77836,                0.86038,                0.66957,                0.87812,                0.78931,                 0.8631,                0.65827,                0.75195,                 1.4382,                0.70209,                  1.166,              0.0017129,              0.0017129,              0.0017129
                     32,                0.72088,                 1.3235,                 0.7144,                 1.1081,                0.86229,                0.75669,                0.84958,                0.65569,                0.87665,                0.76943,                 0.8574,                0.63604,                0.79832,                 1.4647,                0.74206,                 1.2068,               0.001703,               0.001703,               0.001703
                     33,                 0.6983,                 1.2787,                0.67914,                 1.0836,                 0.8439,                0.75068,                0.83018,                0.63553,                0.86089,                0.75924,                0.83697,                0.61926,                0.77954,                 1.4641,                0.75067,                 1.1994,              0.0016931,              0.0016931,              0.0016931
